NAME,FOLDERPATH,SYMBOLID,INC_CRC,FMEL_UPD_D,LONGITUDE,LATITUDE,ALTITUDE
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,124BF3A9A7B00559,20191008154530,103.859212595333,1.37698993572353,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,124BF3A9A7B00559,20191008154530,103.859083126094,1.37705944475344,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,124BF3A9A7B00559,20191008154530,103.858924495338,1.37720189739014,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,124BF3A9A7B00559,20191008154530,103.85870132841,1.37762417001705,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,4D32A9DCA4D3A3FD,20191008154530,103.85870132841,1.37762417001705,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,4D32A9DCA4D3A3FD,20191008154530,103.85849960493,1.37847176123048,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,4D32A9DCA4D3A3FD,20191008154530,103.858448488781,1.379253321395,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,4D32A9DCA4D3A3FD,20191008154530,103.858378399984,1.3798509530839,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,17AFD7EBA474B2CE,20191008154530,103.857827864162,1.3899860252144,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,17AFD7EBA474B2CE,20191008154530,103.858110912759,1.38844975731936,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,873E996F99D802BB,20191008154530,103.857897246357,1.39071095004824,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,873E996F99D802BB,20191008154530,103.85806849342,1.38972651361781,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,F3B63389A7968256,20191008154530,103.857897246357,1.39071095004824,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,F3B63389A7968256,20191008154530,103.8578627158,1.39062421737588,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,F3B63389A7968256,20191008154530,103.857818921554,1.3904258727108,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,F3B63389A7968256,20191008154530,103.857827864162,1.3899860252144,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,49419B0F4E0F64F9,20191008154530,103.856671578357,1.39141678433829,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,49419B0F4E0F64F9,20191008154530,103.857152885555,1.39122339390781,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,49419B0F4E0F64F9,20191008154530,103.857299916337,1.39113490943146,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,49419B0F4E0F64F9,20191008154530,103.857436133329,1.39101808319238,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,49419B0F4E0F64F9,20191008154530,103.857554518305,1.39084075698382,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,49419B0F4E0F64F9,20191008154530,103.857629493992,1.3906769776884,0.0
CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,49419B0F4E0F64F9,20191008154530,103.857753680245,1.39015838511435,0.0
