highway,BUILDINGNAME,BLOCK,ROAD,POSTALCODE,XCOORD,YCOORD,LATITUDE,LONGITUDE
CENTRAL EXPRESSWAY,TECK GHEE GRANDEUR,459,ANG MO KIO AVENUE 10,560459,30900.0113619,38783.6182403,1.3670196448064518,103.85937719020122
CENTRAL EXPRESSWAY,TECK GHEE GRANDEUR,458,ANG MO KIO AVENUE 10,560458,30927.7953127,38733.6948031,1.366568152368012,103.85962684332141
CENTRAL EXPRESSWAY,TECK GHEE GRANDEUR,460,ANG MO KIO AVENUE 10,560460,30871.6481121,38708.4084452,1.3663394770984814,103.8591223195125
CENTRAL EXPRESSWAY,TECK GHEE GRANDEUR,456,ANG MO KIO AVENUE 10,560456,30820.0318774,38799.2167549,1.3671607199265758,103.85865852064465
CENTRAL EXPRESSWAY,TECK GHEE GRANDEUR,460A,ANG MO KIO AVENUE 10,561460,30854.9862833,38737.946577,1.36660661100671,103.858972604321
CENTRAL EXPRESSWAY,TECK GHEE GRANDEUR,457,ANG MO KIO AVENUE 10,560457,30851.5763528,38637.434836,1.3656976191089927,103.85894195411588
CENTRAL EXPRESSWAY,null,558,ANG MO KIO AVENUE 10,560558,30879.3986834,39249.8558493,1.3712361328426363,103.85919201619355
CENTRAL EXPRESSWAY,null,560,ANG MO KIO AVENUE 10,560560,30879.4345812,39203.4293025,1.3708162677773361,103.85919233425575
CENTRAL EXPRESSWAY,null,564,ANG MO KIO AVENUE 3,560564,30903.0062578,39096.4049507,1.3698483755548956,103.85940413195561
CENTRAL EXPRESSWAY,null,562,ANG MO KIO AVENUE 3,560562,30860.1270581,39133.2333081,1.3701814422196443,103.85901883575907
CENTRAL EXPRESSWAY,null,565,ANG MO KIO AVENUE 3,560565,30789.6558975,39062.232609,1.3695393440628312,103.85838559609718
CENTRAL EXPRESSWAY,TECK GHEE PARKVIEW,455B,ANG MO KIO STREET 44,562455,30801.9069547,38928.5294208,1.3683301791257954,103.85849566783743
CENTRAL EXPRESSWAY,null,563,ANG MO KIO AVENUE 3,560563,30747.1367355,39099.0312129,1.3698721414518387,103.85800353499458
CENTRAL EXPRESSWAY,TECK GHEE PARKVIEW,455C,ANG MO KIO STREET 44,563455,30740.417455,38954.4772249,1.368564847548052,103.85794314420458
AYER RAJAH EXPRESSWAY,null,610,CLEMENTI WEST STREET 1,120610,20816.7361247,31875.7945256,1.3045470452555883,103.76877361790748
AYER RAJAH EXPRESSWAY,null,611,CLEMENTI WEST STREET 1,120611,20895.002744,31781.8430068,1.3036973994057355,103.76947690094153
